env,family,param,planner,K,seed,success,search_time,total_time,path_length,waypoints,nodes,iterations,error
clutter_n000.yaml,clutter,0.0,rrt,5,0,1,0.0469,0.0472,260.0,27,27,4,
clutter_n000.yaml,clutter,0.0,rrt,5,1,1,0.076,0.0762,343.379,36,41,6,
clutter_n000.yaml,clutter,0.0,rrt,5,2,1,0.0985,0.0988,290.434,31,48,7,
clutter_n000.yaml,clutter,0.0,rrt,5,3,1,0.273,0.2734,315.414,34,132,35,
clutter_n000.yaml,clutter,0.0,rrt,5,4,1,0.0537,0.0539,276.248,29,29,5,
clutter_n000.yaml,clutter,0.0,rrt,5,5,1,0.0497,0.05,260.0,27,27,4,
clutter_n000.yaml,clutter,0.0,rrt,5,6,1,0.0515,0.0518,250.0,26,26,2,
clutter_n000.yaml,clutter,0.0,rrt,5,7,1,0.0512,0.0514,256.332,27,27,3,
clutter_n000.yaml,clutter,0.0,rrt,5,8,1,0.1727,0.173,430.0,44,62,8,
clutter_n000.yaml,clutter,0.0,rrt,5,9,1,0.0924,0.0928,329.888,34,38,5,
clutter_n000.yaml,clutter,0.0,rrt,5,10,1,0.2783,0.2785,440.0,45,117,19,
clutter_n000.yaml,clutter,0.0,rrt,5,11,1,0.2208,0.221,404.201,42,89,8,
clutter_n000.yaml,clutter,0.0,rrt,5,12,1,0.38,0.3803,512.871,53,167,34,
clutter_n000.yaml,clutter,0.0,rrt,5,13,1,0.2103,0.2105,423.735,44,102,26,
clutter_n000.yaml,clutter,0.0,rrt,5,14,1,0.0882,0.0884,367.176,38,51,6,
clutter_n000.yaml,clutter,0.0,rrt,5,15,1,0.0448,0.045,256.83,27,27,3,
clutter_n000.yaml,clutter,0.0,rrt,5,16,1,0.0464,0.0466,267.377,28,29,7,
clutter_n000.yaml,clutter,0.0,rrt,5,17,1,0.1,0.1002,385.323,40,51,12,
clutter_n000.yaml,clutter,0.0,rrt,5,18,1,0.0758,0.076,340.0,35,39,8,
clutter_n000.yaml,clutter,0.0,rrt,5,19,1,0.1951,0.1954,364.851,38,97,19,
clutter_n000.yaml,clutter,0.0,rrt,5,20,1,0.3743,0.3746,423.669,44,190,36,
clutter_n000.yaml,clutter,0.0,rrt,5,21,1,0.0904,0.0907,356.121,37,50,4,
clutter_n000.yaml,clutter,0.0,rrt,5,22,1,0.0803,0.0806,337.417,35,39,11,
clutter_n000.yaml,clutter,0.0,rrt,5,23,1,0.0965,0.0968,369.326,38,49,6,
clutter_n000.yaml,clutter,0.0,rrt,5,24,1,0.1063,0.1066,357.692,37,53,11,
clutter_n000.yaml,clutter,0.0,rrt,5,25,1,0.1774,0.1778,419.726,43,76,15,
clutter_n000.yaml,clutter,0.0,rrt,5,26,1,0.0552,0.0554,257.212,27,27,3,
clutter_n000.yaml,clutter,0.0,rrt,5,27,1,0.0825,0.0827,365.246,38,41,9,
clutter_n000.yaml,clutter,0.0,rrt,5,28,1,0.0681,0.0684,309.141,32,41,18,
clutter_n000.yaml,clutter,0.0,rrt,5,29,1,0.0498,0.0501,260.0,27,27,4,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,0,1,0.0406,0.0409,254.629,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,1,1,0.0436,0.0438,253.774,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,2,1,0.0443,0.0445,253.241,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,3,1,0.0407,0.0409,253.564,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,4,1,0.0379,0.0381,252.481,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,5,1,0.0429,0.0431,254.562,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,6,1,0.102,0.1024,253.113,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,7,1,0.0991,0.0994,252.208,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,8,1,0.0967,0.0971,254.187,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,9,1,0.1015,0.102,254.006,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,10,1,0.0926,0.0931,253.741,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,11,1,0.0756,0.0762,253.68,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,12,1,0.0661,0.0664,254.864,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,13,1,0.0705,0.0708,253.433,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,14,1,0.0737,0.074,253.636,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,15,1,0.0745,0.0747,254.077,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,16,1,0.0774,0.0777,265.738,28,30,2,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,17,1,0.0648,0.065,252.96,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,18,1,0.0737,0.0741,252.806,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,19,1,0.0652,0.0655,253.248,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,20,1,0.0734,0.0736,254.794,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,21,1,0.0709,0.0711,253.205,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,22,1,0.0872,0.0875,265.544,28,32,2,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,23,1,0.0885,0.0888,252.59,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,24,1,0.0907,0.0911,254.236,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,25,1,0.1118,0.1123,265.313,28,29,2,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,26,1,0.1106,0.1111,254.721,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,27,1,0.0966,0.0971,254.582,27,28,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,28,1,0.1011,0.1015,264.32,28,30,2,
clutter_n000.yaml,clutter,0.0,rrt-connect,5,29,1,0.0712,0.0715,264.819,28,31,2,
clutter_n005.yaml,clutter,5.0,rrt,5,0,1,0.1275,0.1281,340.0,35,36,58,
clutter_n005.yaml,clutter,5.0,rrt,5,1,1,0.1882,0.1887,443.071,46,54,45,
clutter_n005.yaml,clutter,5.0,rrt,5,2,1,0.1091,0.1095,310.0,32,32,32,
clutter_n005.yaml,clutter,5.0,rrt,5,3,1,0.1408,0.1413,320.0,33,35,126,
clutter_n005.yaml,clutter,5.0,rrt,5,4,1,0.5129,0.5134,481.87,50,130,55,
