env,family,param,planner,K,runs,successes,success_rate,sr_lo,sr_hi,time_mean,time_lo,time_hi,len_mean,len_lo,len_hi,nodes_mean,nodes_lo,nodes_hi
clutter_n000.yaml,clutter,0.0,rrt,7,30,30,1.0,0.8865,1.0,0.109,0.0768,0.1413,394.102,363.293,424.91,69.0,50.6,87.3
clutter_n000.yaml,clutter,0.0,rrt-connect,7,30,30,1.0,0.8865,1.0,0.0437,0.0413,0.0462,301.216,296.264,306.167,35.8,34.2,37.4
clutter_n005.yaml,clutter,5.0,rrt,7,30,30,1.0,0.8865,1.0,0.2065,0.0999,0.3131,462.445,437.533,487.356,121.6,61.4,181.8
clutter_n005.yaml,clutter,5.0,rrt-connect,7,30,30,1.0,0.8865,1.0,0.1782,0.1058,0.2506,510.885,489.042,532.728,110.9,68.6,153.2
clutter_n010.yaml,clutter,10.0,rrt,7,30,26,0.8667,0.7032,0.9469,3.697,1.8768,5.5173,596.571,543.748,649.395,1816.4,941.2,2691.6
clutter_n010.yaml,clutter,10.0,rrt-connect,7,30,30,1.0,0.8865,1.0,0.1181,0.0903,0.146,435.35,406.399,464.302,70.8,56.4,85.2
clutter_n020.yaml,clutter,20.0,rrt,7,30,30,1.0,0.8865,1.0,3.9189,2.145,5.6927,542.195,501.337,583.053,1883.1,1043.3,2722.9
clutter_n020.yaml,clutter,20.0,rrt-connect,7,30,30,1.0,0.8865,1.0,0.3015,0.1759,0.4271,585.743,549.442,622.044,168.6,100.9,236.4
clutter_n030.yaml,clutter,30.0,rrt,7,30,30,1.0,0.8865,1.0,1.0469,0.2183,1.8755,452.881,402.253,503.509,260.5,46.0,475.0
clutter_n030.yaml,clutter,30.0,rrt-connect,7,30,30,1.0,0.8865,1.0,0.0452,0.0426,0.0478,307.042,299.246,314.837,35.5,34.0,37.0
clutter_n040.yaml,clutter,40.0,rrt,7,30,30,1.0,0.8865,1.0,2.612,1.6744,3.5496,761.621,707.9,815.342,1174.3,752.7,1595.8
clutter_n040.yaml,clutter,40.0,rrt-connect,7,30,30,1.0,0.8865,1.0,0.5777,0.4891,0.6663,781.001,755.35,806.653,247.3,209.5,285.2
passage_w010.yaml,passage,10.0,rrt,7,30,7,0.2333,0.1179,0.4093,11.2824,5.4858,17.079,1181.13,1046.126,1316.134,5106.4,2654.3,7558.6
passage_w010.yaml,passage,10.0,rrt-connect,7,30,28,0.9333,0.7868,0.9815,3.263,1.4441,5.082,933.287,876.051,990.523,1716.6,814.1,2619.0
passage_w015.yaml,passage,15.0,rrt,7,30,10,0.3333,0.1923,0.5122,11.3764,7.7073,15.0455,1136.994,1041.113,1232.875,5431.7,3854.6,7008.8
passage_w015.yaml,passage,15.0,rrt-connect,7,30,30,1.0,0.8865,1.0,0.4671,0.3625,0.5718,738.399,714.684,762.114,255.4,199.5,311.3
passage_w020.yaml,passage,20.0,rrt,7,30,22,0.7333,0.5555,0.8582,7.1474,4.9255,9.3692,995.786,934.035,1057.536,3486.7,2466.1,4507.3
passage_w020.yaml,passage,20.0,rrt-connect,7,30,30,1.0,0.8865,1.0,0.3394,0.2441,0.4348,677.422,657.793,697.05,186.8,135.5,238.0
passage_w030.yaml,passage,30.0,rrt,7,30,21,0.7,0.5212,0.8334,7.3407,4.883,9.7984,823.343,768.17,878.517,3622.6,2477.2,4768.0
passage_w030.yaml,passage,30.0,rrt-connect,7,30,30,1.0,0.8865,1.0,0.3832,0.2596,0.5068,637.053,611.494,662.611,215.7,149.7,281.7
passage_w040.yaml,passage,40.0,rrt,7,30,27,0.9,0.7438,0.9654,6.2688,4.3984,8.1392,808.533,754.956,862.11,3214.1,2327.2,4101.1
passage_w040.yaml,passage,40.0,rrt-connect,7,30,30,1.0,0.8865,1.0,0.4563,0.2991,0.6135,632.531,604.448,660.614,270.7,180.0,361.3
passage_w050.yaml,passage,50.0,rrt,7,30,26,0.8667,0.7032,0.9469,5.6585,4.1458,7.1712,813.486,751.58,875.392,2945.0,2195.8,3694.3
passage_w050.yaml,passage,50.0,rrt-connect,7,30,30,1.0,0.8865,1.0,0.4942,0.3291,0.6593,588.736,560.155,617.317,291.0,196.4,385.6
passage_w060.yaml,passage,60.0,rrt,7,30,28,0.9333,0.7868,0.9815,5.1403,3.898,6.3826,755.503,709.312,801.693,2645.2,2039.9,3250.6
passage_w060.yaml,passage,60.0,rrt-connect,7,30,30,1.0,0.8865,1.0,0.4898,0.3193,0.6603,586.583,555.031,618.135,285.4,190.0,380.8
